1522,-8005,-439,0
1014,-380368,-402,0
1268,-273681,-263,0
-507,154920,-94,0
3297,677721,62,0
3297,1206413,296,0
5581,1121049,544,0
2029,397184,804,0
4058,-22091,1094,0
6849,-49514,1362,0
3551,874624,1700,0
4058,334041,1989,0
4566,-311963,2287,0
3297,219054,2598,0
3805,857657,2858,0
3551,1193505,3088,0
2536,1211500,3373,0
2029,268085,3642,0
1014,-99521,3878,0
7103,-250575,4145,0
2283,606198,4473,0
4312,1290747,4775,0
-1014,1307599,5068,0
3551,1071145,5405,0
2790,206566,5740,0
507,-4870,6107,0
-507,439254,6510,0
-4058,702692,6917,0
-1268,336632,7320,0
-2536,228602,7779,0
-5073,947801,8257,0
-3297,1510533,8742,0
-8371,1919230,9244,0
-3805,1887021,9776,0
-6342,839185,10355,0
4312,153829,10996,0
-1775,1135639,11666,0
-1268,1558896,12314,0
3297,2078142,12965,0
1268,2032440,13653,0
7356,969912,14355,0
8117,524190,15098,0
-3044,747318,15846,0
-2790,2137587,16738,0
4566,1318240,17685,0
9639,647198,18591,0
6595,1409131,19584,0
-253,2070853,20519,0
1014,2807850,21502,0
5073,2053566,22441,0
0,1968495,23474,0
1268,1300349,24525,0
-2536,1627047,25620,0
3044,2449328,26800,0
9639,3194529,28111,0
6595,2891656,29501,0
-3551,2557460,30841,0
-1775,1859464,32143,0
14206,1948712,33478,0
-12684,2313856,34900,0
18518,2861337,36453,0
1775,2538026,38046,0
-15474,2377653,39571,0
36783,2896533,41117,0
-4058,3365989,42659,0
8625,3167971,44254,0
-4566,2613762,45853,0
3805,2570633,47503,0
14967,2247735,49159,0
-6849,3218498,50889,0
10654,3486344,52600,0
23338,3473055,54294,0
-5327,3160663,56008,0
-26129,3141470,57698,0
28666,2890786,59396,0
23085,2645210,61150,0
-253,3383206,62929,0
-7103,2291477,64584,0
6342,2667938,66374,0
34247,3493683,68174,0
36783,3476770,69944,0
20040,3459599,71718,0
26636,3476311,73557,0
25621,3389578,75366,0
15220,3445551,77201,0
-19026,2640627,79049,0
20548,3432751,80907,0
9132,3494365,82833,0
29427,3494311,84718,0
23846,2880007,86608,0
19533,2973160,88501,0
12937,3246928,90445,0
21816,3494334,92388,0
5327,3150743,94301,0
19533,3248920,96223,0
25621,3494064,98192,0
23085,3493755,100145,0
2029,3494349,102118,0
-4312,3440602,104061,0
27905,3493626,106030,0
28412,3493574,108005,0
