2023/01/13
左右2Vで空転させたときのログ
LPFなし
spd(*100000),encdiff,encang,0
256472,702,11385,0
258755,719,9956,0
265351,700,8543,0
260277,705,7157,0
256726,675,5824,0
261038,686,4443,0
250384,683,3071,0
255457,693,1696,0
258755,708,273,0
247847,680,15287,0
259516,701,13898,0
266619,724,12464,0
262307,718,11032,0
270171,738,9567,0
266873,712,8130,0
266366,697,6745,0
254950,689,5366,0
271439,716,3962,0
259009,683,2576,0
259516,700,1175,0
272961,735,16103,0
260277,696,14780,0
259516,702,13334,0
255711,679,11979,0
262053,725,10552,0
275498,742,9077,0
248862,676,7671,0
257487,686,6334,0
263829,701,4945,0
245817,630,3608,0
259516,689,2246,0
247340,656,859,0
266873,708,15843,0
242266,673,14538,0
248101,664,13128,0
260277,684,11777,0
257233,712,10354,0
259770,713,8918,0
256218,673,7543,0
251398,673,6206,0
252413,668,4846,0
263575,689,3480,0
250891,698,2136,0
259263,694,726,0
250637,668,15769,0
256726,687,14422,0
263829,730,12959,0
243027,651,11621,0
268141,720,10169,0
270932,754,8733,0
265605,689,7393,0
246832,674,6062,0
258248,692,4713,0
247086,638,3410,0
245056,630,2121,0
258755,696,717,0
254189,642,15813,0
248354,696,14444,0
249115,667,13112,0
253428,688,11756,0
253682,696,10343,0
258248,698,9007,0
257487,676,7624,0
250637,670,6356,0
246832,653,5040,0
235924,624,3754,0
234148,620,2488,0
258248,692,1125,0
265858,666,16156,0
235670,633,14873,0
254443,666,13569,0
247340,703,12149,0
241505,624,10840,0
251398,716,9473,0
255965,693,8063,0
221718,633,6814,0
244295,648,5504,0
261546,675,4176,0
219942,634,2895,0
251906,678,1543,0
234909,670,198,0
250384,648,15281,0
241251,686,13931,0
249876,694,12546,0
244295,685,11176,0
247340,712,9770,0
251906,703,8348,0
232119,665,7003,0
245817,682,5665,0
242520,662,4310,0
251906,677,2969,0
241505,677,1627,0
261546,719,193,0
244549,661,15248,0
252413,687,13894,0
261292,712,12482,0
261292,703,11079,0
266366,735,9615,0
254950,707,8181,0
249876,668,6825,0
257740,703,5429,0
255204,697,4061,0
251145,685,2685,0
262560,706,1283,0
256726,692,16272,0
250384,694,14896,0
268141,716,13474,0
259516,712,12037,0
277528,733,10587,0
266873,737,9107,0
261038,704,7677,0
256979,702,6287,0
258502,701,4879,0
256472,714,3475,0
261799,720,2088,0
269664,727,687,0
260531,702,15655,0
261038,711,14250,0
265097,716,12822,0
266112,703,11407,0
273722,735,9963,0
276006,746,8460,0
253935,674,7088,0
263322,692,5678,0
260531,704,4280,0
252667,688,2920,0
253428,700,1514,0
274737,734,91,0
248101,650,15117,0
269664,745,13728,0
266366,694,12275,0
267380,711,10931,0
256218,691,9475,0
273469,713,8072,0
260785,674,6742,0
247593,659,5389,0
245564,664,4028,0
250130,668,2707,0
262307,706,1327,0
256472,694,16298,0
251398,659,14984,0
268395,709,13606,0
264336,716,12159,0
259770,672,10781,0
284631,759,9345,0
257994,677,7973,0
258502,662,6647,0
253174,673,5263,0
261546,658,3970,0
246578,664,2605,0
246071,655,1307,0
251906,644,16306,0
245056,665,15014,0
250384,689,13645,0
261799,689,12259,0
232119,648,10935,0
276513,727,9537,0
257487,682,8145,0
256218,673,6810,0
244803,659,5504,0
253174,660,4175,0
247340,699,2825,0
251652,656,1515,0
257994,701,144,0
247340,672,15176,0
248862,668,13845,0
257740,682,12487,0
255965,709,11063,0
255711,672,9713,0
258502,705,8295,0
233641,612,6972,0
261292,661,5666,0
254696,681,4314,0
239222,636,3049,0
259263,708,1714,0
242012,633,416,0
250637,674,15485,0
242520,649,14158,0
256218,671,12821,0
243027,677,11484,0
255965,683,10086,0
266366,712,8718,0
245056,637,7407,0
252159,677,6068,0
258248,664,4757,0
249876,646,3449,0
245310,667,2137,0
256218,705,745,0
237953,644,15810,0
254950,672,14484,0
267634,712,13088,0
255711,688,11677,0
251145,675,10349,0
273469,741,8890,0
226538,605,7583,0
249876,661,6253,0
249876,651,4906,0
246578,650,3615,0
259516,676,2291,0
245310,687,920,0
254443,665,15963,0
239475,658,14655,0
261799,687,13297,0
244042,705,11874,0
258248,707,10472,0
248862,689,9101,0
244549,626,7737,0
241251,652,6401,0
249876,658,5058,0
244042,633,3737,0
238461,623,2451,0
254189,700,1060,0
248608,655,16095,0
241759,665,14800,0
256472,702,13402,0
251145,695,12004,0
249876,672,10641,0
266112,709,9257,0
247847,666,7860,0
252921,676,6530,0
252921,676,5182,0
259263,684,3824,0
243788,654,2496,0
275245,739,1075,0
247593,656,16123,0
251906,690,14749,0
261799,701,13346,0
253174,686,11994,0
259009,706,10549,0
255711,697,9179,0
267127,704,7756,0
222732,609,6469,0
269410,687,5098,0
242773,659,3776,0
263575,681,2478,0
256218,679,1106,0
249115,664,16184,0
248354,650,14841,0
250384,681,13500,0
251652,678,12140,0
246832,697,10767,0
255965,712,9349,0
253935,685,7952,0
244803,661,6617,0
259263,684,5268,0
245310,673,3917,0
252159,665,2583,0
253428,697,1209,0
251145,684,16203,0
259009,673,14855,0
253682,716,13447,0
266873,704,12026,0
255711,712,10610,0
261799,725,9163,0
258248,702,7747,0
258502,691,6366,0
255965,694,4983,0
262814,695,3590,0
258248,695,2208,0
261292,710,795,0
264336,694,15779,0
267634,704,14379,0
266873,722,12935,0
270425,713,11500,0
264336,749,10023,0
271693,737,8539,0
264083,694,7135,0
259770,698,5750,0
267380,704,4324,0
256726,689,2941,0
266112,724,1506,0
263575,714,68,0
262814,712,15021,0
271693,739,13558,0
269156,718,12108,0
271693,733,10659,0
267888,741,9181,0
263068,726,7693,0
269410,733,6283,0
260531,714,4870,0
264083,692,3454,0
252667,686,2078,0
265097,688,627,0
249369,661,15587,0
265858,722,14213,0
276767,732,12724,0
264083,694,11335,0
267127,721,9913,0
283616,759,8410,0
224508,618,7071,0
246071,679,5702,0
251906,667,4305,0
247086,668,2984,0
255711,666,1595,0
264844,708,190,0
251652,676,15216,0
266366,714,13882,0
252159,696,12433,0
259263,675,11084,0
271186,699,9688,0
260277,726,8249,0
250384,646,6930,0
242773,669,5560,0
252667,693,4188,0
261292,665,2857,0
245817,706,1466,0
256726,693,74,0
241505,681,15102,0
269410,708,13697,0
248101,710,12270,0
275245,710,10855,0
260277,756,9377,0
259263,695,7939,0
250891,680,6585,0
239983,672,5214,0
257740,710,3804,0
245817,693,2421,0
257233,710,1007,0
250891,688,16002,0
251398,706,14604,0
263322,729,13157,0
256218,712,11715,0
262307,732,10260,0
266619,731,8785,0
257233,710,7358,0
262053,705,5947,0
255711,699,4550,0
256218,682,3152,0
260531,714,1745,0
259009,725,322,0
255204,706,15281,0
259516,705,13866,0
263322,723,12442,0
259009,713,10968,0
278796,764,9518,0
257487,711,8066,0
255711,688,6672,0
267634,722,5281,0
258502,695,3903,0
264844,696,2514,0
263068,720,1083,0
250891,693,16066,0
254696,685,14699,0
264083,745,13253,0
262053,730,11778,0
258502,719,10358,0
272961,758,8874,0
248354,663,7475,0
254189,674,6092,0
259770,699,4685,0
260277,696,3306,0
266112,702,1914,0
261799,725,461,0
259516,695,15446,0
259770,715,14036,0
270425,719,12594,0
257233,722,11157,0
284631,760,9651,0
260024,725,8178,0
257487,691,6802,0
252413,675,5408,0
262053,709,3986,0
258755,698,2602,0
